   2929 
     83 IPR013087	Zinc finger C2H2-type
     66 IPR000742	EGF-like domain
     64 IPR005455	Profilin
     52 IPR000225	Armadillo
     48 IPR000719	Protein kinase domain
     42 IPR001680	WD40 repeat
     41 IPR013783	Immunoglobulin-like fold
     40 IPR002172	Low-density lipoprotein (LDL) receptor class A repeat
     38 IPR000242	PTP type protein phosphatase
     34 IPR002713	FF domain
     34 IPR002048	EF-hand domain
     31 IPR001452	SH3 domain
     30 IPR005475	Transketolase-like, pyrimidine-binding domain
     29 IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
     28 IPR027417	P-loop containing nucleoside triphosphate hydrolase
     28 IPR003961	Fibronectin type III
     28 IPR002401	Cytochrome P450, E-class, group I
     28 IPR001881	EGF-like calcium-binding domain
     27 IPR036179	Immunoglobulin-like domain superfamily
     25 IPR029061	Thiamin diphosphate-binding fold
     25 IPR004827	Basic-leucine zipper domain
     24 IPR011009	Protein kinase-like domain superfamily
     24 IPR000276	G protein-coupled receptor, rhodopsin-like
     23 IPR036517	FF domain superfamily
     23 IPR001506	Peptidase M12A
     23 IPR001254	Serine proteases, trypsin domain
     22 IPR007110	Immunoglobulin-like domain
     22 IPR001128	Cytochrome P450
     21 IPR013098	Immunoglobulin I-set
     20 IPR036249	Thioredoxin-like superfamily
     20 IPR015917	Peptidase C14A, caspase catalytic domain
     20 IPR013284	Beta-catenin
     20 IPR011603	2-oxoglutarate dehydrogenase E1 component
     20 IPR008155	Amyloidogenic glycoprotein
     20 IPR002126	Cadherin-like
     20 IPR001356	Homeobox domain
     19 IPR003599	Immunoglobulin subtype
     19 IPR000980	SH2 domain
     18 IPR036770	Ankyrin repeat-containing domain superfamily
     18 IPR002110	Ankyrin repeat
     18 IPR000998	MAM domain
     17 IPR001611	Leucine-rich repeat
     16 IPR036465	von Willebrand factor A-like domain superfamily
     16 IPR016024	Armadillo-type fold
     16 IPR000436	Sushi/SCR/CCP domain
     15 IPR042179	Multifunctional 2-oxoglutarate metabolism enzyme, C-terminal domain superfamily
     15 IPR036396	Cytochrome P450 superfamily
     15 IPR036236	Zinc finger C2H2 superfamily
     15 IPR036055	LDL receptor-like superfamily
     15 IPR029021	Protein-tyrosine phosphatase-like
     15 IPR003598	Immunoglobulin subtype 2
     15 IPR002035	von Willebrand factor, type A
     14 IPR018108	Mitochondrial substrate/solute carrier
     14 IPR011990	Tetratricopeptide-like helical domain superfamily
     14 IPR001623	DnaJ domain
     14 IPR000152	EGF-type aspartate/asparagine hydroxylation site
     13 IPR036322	WD40-repeat-containing domain superfamily
     13 IPR006689	Small GTPase superfamily, ARF/SAR type
     13 IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain
     13 IPR001314	Peptidase S1A, chymotrypsin family
     13 IPR000488	Death domain
     12 IPR043504	Peptidase S1, PA clan, chymotrypsin-like fold
     12 IPR020479	Homeobox domain, metazoa
     12 IPR015943	WD40/YVTN repeat-like-containing domain superfamily
     12 IPR010513	KEN domain
     12 IPR008197	WAP-type 'four-disulfide core' domain
     12 IPR005018	DOMON domain
     12 IPR003582	ShKT domain
     12 IPR002347	Short-chain dehydrogenase/reductase SDR
     12 IPR002067	Mitochondrial carrier protein
     12 IPR000889	Glutathione peroxidase
     12 IPR000504	RNA recognition motif domain
     12 IPR000008	C2 domain
     11 IPR036188	FAD/NAD(P)-binding domain superfamily
     11 IPR017441	Protein kinase, ATP binding site
     11 IPR011989	Armadillo-like helical
     11 IPR002157	Cobalamin (vitamin B12)-binding protein
     10 IPR029058	Alpha/Beta hydrolase fold
     10 IPR024872	HEXIM
     10 IPR020683	Ankyrin repeat-containing domain
     10 IPR018247	EF-Hand 1, calcium-binding site
     10 IPR009057	Homeobox-like domain superfamily
     10 IPR008271	Serine/threonine-protein kinase, active site
     10 IPR002320	Threonine-tRNA ligase, class IIa
     10 IPR002167	Graves disease carrier protein
     10 IPR001752	Kinesin motor domain
     10 IPR001202	WW domain
     10 IPR001005	SANT/Myb domain
     10 IPR000716	Thyroglobulin type-1
      9 IPR019734	Tetratricopeptide repeat
      9 IPR008930	Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid
      9 IPR003591	Leucine-rich repeat, typical subtype
      9 IPR002350	Kazal domain
      9 IPR001781	Zinc finger, LIM-type
      9 IPR001017	Dehydrogenase, E1 component
      9 IPR000885	Fibrillar collagen, C-terminal
      9 IPR000850	Adenylate kinase/UMP-CMP kinase
      9 IPR000832	GPCR, family 2, secretin-like
      8 IPR036669	Amyloidogenic glycoprotein, copper-binding domain superfamily
      8 IPR036454	Amyloidogenic glycoprotein, heparin-binding domain superfamily
      8 IPR036176	E2 domain superfamily
      8 IPR036116	Fibronectin type III superfamily
      8 IPR031717	Multifunctional 2-oxoglutarate metabolism enzyme, C-terminal
      8 IPR026298	Blc2 family
      8 IPR024329	Amyloidogenic glycoprotein, E2 domain
      8 IPR016135	Ubiquitin-conjugating enzyme/RWD-like
      8 IPR013320	Concanavalin A-like lectin/glucanase domain superfamily
      8 IPR013083	Zinc finger, RING/FYVE/PHD-type
      8 IPR011993	PH-like domain superfamily
      8 IPR009003	Peptidase S1, PA clan
      8 IPR008154	Amyloidogenic glycoprotein, extracellular
      8 IPR003134	Hs1/Cortactin
      8 IPR002241	Glycoside hydrolase, family 27
      8 IPR001841	Zinc finger, RING-type
      8 IPR001806	Small GTPase
      8 IPR001346	Interferon regulatory factor DNA-binding domain
      8 IPR000859	CUB domain
      7 IPR036140	Profilin superfamily
      7 IPR036028	SH3-like domain superfamily
      7 IPR029071	Ubiquitin-like domain superfamily
      7 IPR018097	EGF-like calcium-binding, conserved site
      7 IPR013766	Thioredoxin domain
      7 IPR013568	SEFIR domain
      7 IPR011029	Death-like domain superfamily
      7 IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
      7 IPR002119	Histone H2A
      7 IPR001849	Pleckstrin homology domain
      7 IPR001715	Calponin homology domain
      7 IPR001199	Cytochrome b5-like heme/steroid binding domain
      7 IPR001148	Alpha carbonic anhydrase domain
      7 IPR000608	Ubiquitin-conjugating enzyme E2
      6 IPR038357	KEN domain superfamily
